% 1. Title: Webscrape Database
% 
% 2. Sources:
%      (a) Avtor: Tadej Tomažin
%      (b) Podatki: https://www.avto.net/
%      (c) Datum: Januar, 2020
%
% 3. Instances: 200, all unique

@relation avtomobili

@attribute 'letnikAvto' numeric
@attribute 'nazivAvta' string
@attribute 'tehnicniPregled' string
@attribute 'prevozeniKilometri' numeric
@attribute 'barva' {bela,'svetlo modra','bordo rdeča metalik',modra,'svetlo siva','zelena metalik','svetlo modra metalik',svetlo siva metalik,'modra metalik','temno modra','beige metalik','rjava metalik','svetlo siva metalik','oranžna metalik','temno siva metalik','temno modra metalik','rdeča metalik',rdeča,'siva metalik','srebrna metalik','temno siva','temno zelena metalik','črna metalik','zlata metalik',srebrna,'bela metalik',črna}
@attribute 'cena' numeric
@attribute 'vrstaGoriva' {diesel_motor, bencinski_motor, elektro_pogon, hibridni_pogon}
@attribute 'oblikaAvta' string

@data
2015,'Volkswagen Caddy Cross 1.6 TDI',10/2020,200000,bela,10500,diesel_motor,'enoprostorec / van 5 vr.'
2014,'BMW serija 3: 318d Touring USNJE NAVI PDC ALU',8/2020,220000,'temno siva metalik',9990,diesel_motor,'karavan, 5 vr.'
2014,'Volkswagen Golf Variant 4motion 1.6 TDI',7/2020,199000,'temno siva',8999,diesel_motor,'karavan, 5 vr.'
2016,'Audi A4 Avant 2.0 TDI',3/2020,?,'črna metalik',14999,diesel_motor,'karavan, 5 vr.'
2019,'Škoda Kodiaq',?,10000,bela,31990,diesel_motor,'terensko vozilo / SUV, 5 vr.'
2014,'Volkswagen Sharan 2.0 TDI BlueMotion Technology Comfortline Sky',6/2020,219000,'črna metalik',12500,diesel_motor,'enoprostorec / van, 5 vr.'
2007,'Ford C-Max 1.6 Trend',1/2021,195000,srebrna,2950,bencinski_motor,'enoprostorec / van, 5 vr.'
2016,'Peugeot 2008 Style 1.2 PURE TECH',1/2021,74500,'bela metalik',10999,bencinski_motor,'terensko vozilo / SUV, 5 vr.'
2016,'Volkswagen Passat Variant 2.0',4/2020,115590,črna,17590,diesel_motor,'karavan, 5 vr.'
2011,'Volkswagen Golf Highline 1.4',11/2020,165000,'črna metalik',6190,bencinski_motor,'kombilimuzina / hatchback, 3 vr.'
